Время начала - сс.мс	Время окончания - сс.мс	text@iys1984f	text@vnp1986f	words@iys1984f	words@vnp1986f	gesture@iys1984f	gesture@vnp1986f	gestMeaning@iys1984f	gestMeaning@vnp1986f	intonation@iys1984f	intonation@vnp1986f	gram@iys1984f	gram@vnp1986f	pos@iys1984f	pos@vnp1986f	
157.691	158.078		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		а						нарратив		_		CCONJ
158.078	158.465		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		человеком						нарратив		Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing		NOUN
158.465	158.852		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		который						нарратив		Case=Nom|Degree=Pos|Gender=Masc|Number=Sing		DET
158.852	159.239		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		пишет						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act		VERB
159.239	159.626		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		25						нарратив		_		NUM
159.626	160.013		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		лет						нарратив		Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur		NOUN
160.013	160.4		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		одно						нарратив		Case=Acc|Gender=Neut		NUM
160.4	160.787		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		стихотворение						нарратив		Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing		NOUN
160.787	161.174		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		быть						нарратив		Aspect=Imp|VerbForm=Inf|Voice=Act		AUX
161.174	161.561		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		неинтересно						нарратив		Degree=Pos		ADV
161.561	161.948		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		а						нарратив		_		CCONJ
161.948	162.335		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		для						нарратив		_		ADP
162.335	162.722		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		того						нарратив		Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing		PRON
162.722	163.109		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		чтобы						нарратив		Mood=Cnd		SCONJ
163.109	163.496		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		быть						нарратив		Aspect=Imp|VerbForm=Inf|Voice=Act		AUX
163.496	163.883		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		каждые						нарратив		Case=Acc|Number=Plur		DET
163.883	164.27		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		10						нарратив		_		NUM
164.27	164.657		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		лет						нарратив		Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur		NOUN
164.657	165.044		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		новым						нарратив		Case=Ins|Degree=Pos|Gender=Masc|Number=Sing		ADJ
165.044	165.431		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
165.431	165.818		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		мм						нарратив		_		INTJ
165.818	166.205		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		поэтом						нарратив		Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing		NOUN
166.205	166.592		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		как						нарратив		_		SCONJ
166.592	166.979		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		например						нарратив		Degree=Pos		ADV
166.979	167.366		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		там						нарратив		Degree=Pos		ADV
167.366	167.753		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		Пастернак						нарратив		Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing		PROPN
167.753	168.14		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
168.14	168.527		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		каждые						нарратив		Case=Acc|Number=Plur		DET
168.527	168.914		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		10						нарратив		_		NUM
168.914	169.301		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		лет						нарратив		Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur		NOUN
169.301	169.688		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		изобретал						нарратив		Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act		VERB
169.688	170.075		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		себе						нарратив		Case=Dat		PRON
170.075	170.462		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		новый						нарратив		Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing		ADJ
170.462	170.849		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		поэтический						нарратив		Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing		ADJ
170.849	171.236		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		голос						нарратив		Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing		NOUN
171.236	171.623		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
171.623	172.01		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		ох						нарратив		_		INTJ
172.01	172.397		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		приходилось						нарратив		Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid		VERB
172.397	172.784		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		как						нарратив		_		SCONJ
172.784	173.171		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		ээ						нарратив		_		INTJ
173.171	173.558		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
173.558	173.945		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		все						нарратив		Case=Acc|Gender=Neut|Number=Sing		DET
173.945	174.332		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		переиначивать						нарратив		Aspect=Imp|VerbForm=Inf|Voice=Act		VERB
174.332	174.719		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
174.719	175.172		ну то есть для того чтобы состояться ааа ммм / как поэту человеку нужно преодолеть э какое-то невероятное количество в себе / как раз того самого мне кажется мещанского филистерского обычного бытового земного // а человеком который пишет 25 лет одно стихотворение быть неинтересно а для того чтобы быть каждые 10 лет новым / мм поэтом как например там Пастернак / каждые 10 лет изобретал себе новый поэтический голос / ох приходилось как ээ / все переиначивать //		/						нарратив		_		PUNCT
175.224	175.466		ааа //		ааа						неясно		_		INTJ
175.466	175.708		ааа //		/						неясно		_		PUNCT
175.708	175.951		ааа //		/						неясно		_		PUNCT
176.365	176.65		это еще такая профессия она очень мне кажется / очень тесно с какой-то ну жизнью духа связана / а жизнь духа это вообще / кусок противоречия всегда / то есть ты просыпаешься и говоришь так это все не моя жизнь / я это все построил / я это все больше не люблю / мне нужно куда-то ехать куда-то бежать // главное надо понимать еще такую важную вещь / я всегда / делаю на этом акцент что / вот это все глубокое несчастье в котором / ну подлинные гении находились / нам кажется что это какая-то череда гряда несчастья //		это						нарратив		Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing		PRON
176.65	176.935		это еще такая профессия она очень мне кажется / очень тесно с какой-то ну жизнью духа связана / а жизнь духа это вообще / кусок противоречия всегда / то есть ты просыпаешься и говоришь так это все не моя жизнь / я это все построил / я это все больше не люблю / мне нужно куда-то ехать куда-то бежать // главное надо понимать еще такую важную вещь / я всегда / делаю на этом акцент что / вот это все глубокое несчастье в котором / ну подлинные гении находились / нам кажется что это какая-то череда гряда несчастья //		еще						нарратив		Degree=Pos		ADV
176.935	177.22		это еще такая профессия она очень мне кажется / очень тесно с какой-то ну жизнью духа связана / а жизнь духа это вообще / кусок противоречия всегда / то есть ты просыпаешься и говоришь так это все не моя жизнь / я это все построил / я это все больше не люблю / мне нужно куда-то ехать куда-то бежать // главное надо понимать еще такую важную вещь / я всегда / делаю на этом акцент что / вот это все глубокое несчастье в котором / ну подлинные гении находились / нам кажется что это какая-то череда гряда несчастья //		такая						нарратив		Case=Nom|Gender=Fem|Number=Sing		DET
177.22	177.505		это еще такая профессия она очень мне кажется / очень тесно с какой-то ну жизнью духа связана / а жизнь духа это вообще / кусок противоречия всегда / то есть ты просыпаешься и говоришь так это все не моя жизнь / я это все построил / я это все больше не люблю / мне нужно куда-то ехать куда-то бежать // главное надо понимать еще такую важную вещь / я всегда / делаю на этом акцент что / вот это все глубокое несчастье в котором / ну подлинные гении находились / нам кажется что это какая-то череда гряда несчастья //		профессия						нарратив		Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing		NOUN
