Время начала - сс.мс	Время окончания - сс.мс	text@iys1984f	text@vnp1986f	words@iys1984f	words@vnp1986f	gesture@iys1984f	gesture@vnp1986f	gestMeaning@iys1984f	gestMeaning@vnp1986f	intonation@iys1984f	intonation@vnp1986f	gram@iys1984f	gram@vnp1986f	pos@iys1984f	pos@vnp1986f	
111.17	111.476	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		будто						нарратив		_		PART	
111.476	111.782	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		в						нарратив		_		ADP	
111.782	112.088	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		музей						нарратив		Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing		NOUN	
112.088	112.394	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		хожу						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act		VERB	
112.394	112.7	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
112.7	113.006	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		потому						нарратив		Degree=Pos		ADV	
113.006	113.312	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		что						нарратив		_		SCONJ	
113.312	113.618	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		ну						нарратив		_		INTJ	
113.618	113.924	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		я						нарратив		Case=Nom|Number=Sing|Person=1		PRON	
113.924	114.23	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		так						нарратив		Degree=Pos		ADV	
114.23	114.536	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		прикасаюсь						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid		VERB	
114.536	114.842	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		к						нарратив		_		ADP	
114.842	115.148	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		чему-то						нарратив		Case=Dat		PRON	
115.148	115.454	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		э						нарратив		_		INTJ	
115.454	115.76	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		непонятному						нарратив		Case=Dat|Degree=Pos|Gender=Masc|Number=Sing		ADJ	
115.76	116.066	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		моему						нарратив		Case=Dat|Gender=Masc|Number=Sing		DET	
116.066	116.372	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		миру						нарратив		Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing		NOUN	
116.372	116.678	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		совершенно						нарратив		Degree=Pos		ADV	
116.678	116.984	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		а						нарратив		_		CCONJ	
116.984	117.29	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		когда						нарратив		_		SCONJ	
117.29	117.596	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		читаешь						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act		VERB	
117.596	117.902	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		биографии						нарратив		Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur		NOUN	
117.902	118.208	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		поэтов						нарратив		Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur		NOUN	
118.208	118.514	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
118.514	118.82	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		то						нарратив		_		SCONJ	
118.82	119.126	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		вообще						нарратив		Degree=Pos		ADV	
119.126	119.432	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		с						нарратив		_		ADP	
119.432	119.738	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		ума						нарратив		Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing		NOUN	
119.738	120.044	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		сходишь						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act		VERB	
120.044	120.35	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		думаешь						нарратив		Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act		VERB	
120.35	120.656	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
120.656	120.962	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		блин						нарратив		_		INTJ	
120.962	121.268	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		почему						нарратив		Degree=Pos		ADV	
121.268	121.574	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		люди						нарратив		Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur		NOUN	
121.574	121.88	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		так						нарратив		Degree=Pos		ADV	
121.88	122.186	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		жили						нарратив		Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act		VERB	
122.186	122.492	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		странно						нарратив		Degree=Pos		ADV	
122.492	122.798	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		?						нарратив		_		PUNCT	
